key,sku,unitPrice,name
rural|post|TLPOST|4 Rail|WGRedGum|4||end,TLPOST-127 WGRedGum-4R-4.0m-E,44.11,Timberline Post 127x127mm WGRedGum E 4R @ 2.0m
rural|post|TLPOST|4 Rail|WGRedGum|2||line,TLPOST-127 WGRedGum-4R-2.0m-L,44.11,Timberline Post 127x127mm WGRedGum L 4R @ 2.0m
rural|post|TLPOST||white|2||blank,TLPOST-127mm-White-2.00m-B,39.83,Timberline Post 127x127mm White B @ 1.2m (total length 2.0m)
rural|post|TLPOST|3 Rail|white|2||line,TLPOST-127 White-3R-2.0m-L,39.83,Timberline CROSSBUCK LINE Post 127x127mm White  @ 2.0m
rural|post|TLPOST|3 Rail|WGRedGum|2||end,TLPOST-127 WGRedGum-3R-2.0m-E,44.11,Timberline Post 127x127mm WGRedGum E 3R @ 2.0m
rural|post|TLPOST|3 Rail|WGRedGum|2||line,TLPOST-127 WGRedGum-3R-2.0m-L,44.11,Timberline Post 127x127mm WGRedGum L 3R @ 2.0m
rural|post|TLPOST|2 Rail|WGRedGum|2||line,TLPOST-127 WGRedGum-2R-2.0m-L,44.11,Timberline Post 127x127mm WGRedGum L 2R @ 2.0m
rural|post|TLPOST|2 Rail|WGRedGum|2||end,TLPOST-127 WGRedGum-2R-2.0m-E,44.11,Timberline Post 127x127mm WGRedGum E 2R @ 2.0m
rural|post|TLPOST|3 Rail|white|2||end,TLPOST-127 White-3R-2.0m-E,39.83,Timberline Post 127x127mm White E 3R @ 2.0m
rural|post|TLPOST|1 Rail|WGPine|2||line,TLPOST-127 WGPine-1R-2.0m-L,44.11,Timberline Post 127x127mm WGPine L 1R @ 2.0m
rural|post|TLPOST|1 Rail|WGPine|2||end,TLPOST-127 WGPine-1R-2.0m-E,44.11,Timberline Post 127x127mm WGPine E 1R @ 2.0m
rural|post|TLPOST|3 Rail|NightM|2||corner,TLPOST-127 NightM-3R-2.0m-C,44.11,Timberline Post 127x127mm Night Mist C 3R @ 2.0m
rural|post|TLPOST|3 Rail|Night|2||line,TLPOST-127 Night M-3R-2.0m-L,44.11,Timberline Post 127x127mm Night Mist L 3R @ 2.0m
rural|post|TLPOST|3 Rail|NightM|2||end,TLPOST-127 NightM-3R-2.0m-E,44.11,Timberline Post 127x127mm Night Mist E 3R @ 2.0m
rural|post|TLPOST|3 Rail|white|3||corner,TLPOST-127 White-3R-3.0m-C,39.83,Timberline Post 127x127mm White C 3R @ 2.0m
rural|post|TLPOST||Cream|2||blank,TLPOST-127-Cream-2.0m-B,66.34,Timberline CORNER Post 127x127mm Cream @ 1.4m
rural|post|TLPOST|4 Rail|white|2||corner,TLPOST-127 White-4R-2.0m-C,39.83,Timberline Post 127x127mm White C 4R @ 2.0m
rural|post|TLPOST|3 Rail|Cream|2||corner,TLPOST-127 Cream-3R-2.0m-C,66.34,Timberline Post 127x127mm Cream C 3R @ 2.0m
rural|post|TLPOST|4 Rail|WGRedgum|2||corner,TLPOST-127 WGRedgum-4R-2.0m-C,44.11,Timberline Post 127x127mm WGRedgum C 4R @ 2.0m
rural|post|TLPOST||Delux|2||blank,TLPOST-127mm-Delux-2.0m-B,66.34,Timberline Post 127x127mm Delux B @ 2.0m
rural|post|TLPOST|3 Rail|WGPine|2||corner,TLPOST-127 WGPine-3R-2.0m-C,44.11,Timberline Post 127x127mm WGPine E 3R @ 2.0m
rural|post|TLPOST|3 Rail|WGPine|2||line,TLPOST-127 WGPine-3R-2.0m-L,44.11,Timberline Post 127x127mm WGPine L 3R @ 2.0m
rural|post|TLPOST|2 Rail|GreyR|2||end,TLPOST-127 GreyR-2R-2.0m-E,44.11,Timberline Post 127x127mm GreyRidge E 2R @ 2.0m
rural|post|TLPOST|2 Rail|GreyR|2||line,TLPOST-127 GreyR-2R-2.0m-L,44.11,Timberline Post 127x127mm GreyRidge L 2R @ 2.0m
